adc_mq135, adc_mq137, adc_mq138, adc_mq3, status
17041,16887,14748,19881,preheat
17036,16879,14750,19882,preheat
17033,16871,14748,19876,preheat
17028,16864,14743,19869,preheat
17022,16858,14733,19869,preheat
17023,16850,14723,19863,preheat
17015,16845,14712,19857,preheat
17009,16834,14703,19847,preheat
17005,16828,14701,19849,preheat
17003,16823,14698,19844,preheat
16996,16820,14692,19839,preheat
16996,16814,14690,19837,preheat
16984,16808,14686,19830,preheat
16985,16801,14680,19833,preheat
16978,16795,14670,19824,preheat
16978,16792,14666,19822,preheat
16976,16788,14665,19820,preheat
16971,16784,14667,19815,preheat
16972,16779,14664,19813,preheat
16966,16777,14662,19807,preheat
16965,16777,14665,19804,preheat
16965,16774,14667,19808,preheat
16962,16772,14659,19797,preheat
16959,16772,14646,19799,preheat
16962,16768,14636,19795,preheat
16963,16766,14632,19794,preheat
16967,16767,14630,19791,preheat
16964,16757,14625,19796,preheat
16960,16756,14615,19787,preheat
16952,16752,14611,19788,preheat
16949,16747,14604,19781,preheat
16946,16738,14605,19777,preheat
16941,16736,14609,19779,preheat
16938,16727,14601,19771,preheat
16929,16721,14596,19766,preheat
16919,16712,14592,19762,preheat
16914,16711,14590,19759,preheat
16912,16709,14580,19758,preheat
16912,16700,14571,19752,preheat
16910,16699,14564,19751,preheat
16905,16694,14558,19745,preheat
16911,16699,14555,19747,preheat
16907,16698,14554,19743,preheat
16914,16699,14553,19741,preheat
16912,16699,14551,19740,preheat
16920,16701,14549,19739,preheat
16923,16709,14554,19741,preheat
16929,16714,14555,19747,preheat
16934,16720,14557,19748,preheat
16941,16721,14568,19749,preheat
16943,16729,14581,19748,preheat
16948,16727,14592,19748,preheat
16948,16733,14602,19750,preheat
16948,16735,14610,19754,preheat
16946,16738,14612,19755,preheat
16950,16742,14616,19750,preheat
16955,16749,14619,19754,preheat
16956,16754,14618,19758,preheat
16969,16765,14624,19761,preheat
16973,16774,14627,19764,preheat
16980,16782,14644,19767,preheat
16994,16793,14654,19772,preheat
17009,16805,14672,19776,preheat
17017,16817,14688,19784,preheat
17025,16825,14695,19787,preheat
17040,16831,14705,19791,preheat
17048,16838,14718,19797,preheat
17058,16842,14728,19806,preheat
17065,16849,14738,19810,preheat
17069,16844,14738,19812,preheat
17073,16848,14730,19811,preheat
17080,16840,14727,19812,preheat
17083,16827,14718,19805,preheat
17084,16814,14713,19795,preheat
17086,16795,14698,19785,preheat
17086,16774,14678,19769,preheat
17074,16750,14658,19755,preheat
17064,16723,14638,19732,preheat
17057,16704,14620,19716,preheat
17052,16686,14601,19697,preheat
17051,16677,14590,19679,preheat
17059,16683,14595,19668,preheat
17081,16700,14607,19658,preheat
17120,16739,14630,19657,preheat
17163,16796,14664,19661,preheat
17213,16861,14708,19671,preheat
17276,16946,14770,19687,preheat
17357,17039,14843,19720,preheat
17440,17139,14929,19748,preheat
17524,17243,15021,19788,preheat
17610,17348,15136,19831,preheat
17693,17447,15250,19878,preheat
17768,17548,15360,19921,preheat
17837,17641,15461,19974,preheat
17898,17724,15565,20025,preheat
17963,17804,15664,20078,preheat
18012,17883,15751,20127,preheat
18059,17952,15837,20175,preheat
18105,18015,15914,20217,preheat
18150,18080,15994,20262,preheat
18191,18128,16080,20296,preheat
18231,18180,16150,20339,preheat
18267,18225,16211,20373,preheat
18293,18267,16264,20410,preheat
18322,18305,16314,20442,preheat
18341,18332,16354,20472,preheat
18353,18367,16393,20507,preheat
18370,18392,16428,20527,preheat
18383,18416,16468,20553,preheat
18391,18434,16490,20571,preheat
18397,18444,16516,20592,preheat
18394,18455,16548,20605,preheat
18394,18457,16564,20621,preheat
18389,18459,16576,20633,preheat
18385,18456,16568,20645,preheat
18370,18450,16560,20651,preheat
18354,18443,16545,20665,preheat
18343,18429,16533,20663,preheat
18325,18415,16517,20669,preheat
18302,18394,16508,20667,preheat
18282,18376,16491,20670,preheat
18263,18359,16474,20670,preheat
18237,18340,16448,20670,preheat
18219,18322,16419,20671,preheat
18198,18305,16389,20667,preheat
18181,18294,16368,20669,preheat
18159,18273,16343,20668,preheat
18146,18261,16324,20662,preheat
18127,18248,16304,20664,preheat
18112,18229,16285,20657,preheat
18092,18213,16271,20659,preheat
18077,18196,16258,20651,preheat
18055,18181,16241,20652,preheat
18041,18159,16214,20645,preheat
18021,18138,16181,20641,preheat
18001,18113,16147,20633,preheat
17983,18098,16120,20624,preheat
17957,18069,16096,20613,preheat
17936,18047,16067,20605,preheat
17914,18021,16039,20596,preheat
17892,18001,16006,20586,preheat
17869,17978,15967,20576,preheat
17844,17957,15920,20564,preheat
17822,17933,15875,20551,preheat
17793,17906,15825,20532,preheat
17769,17885,15793,20520,preheat
17745,17862,15763,20512,preheat
17725,17844,15733,20501,preheat
17701,17820,15700,20487,preheat
17679,17803,15670,20478,preheat
17662,17784,15647,20466,preheat
17645,17765,15619,20454,preheat
17635,17751,15602,20447,preheat
17622,17731,15591,20432,preheat
17608,17710,15567,20420,preheat
17595,17690,15546,20414,preheat
17579,17669,15522,20402,preheat
17566,17650,15498,20387,preheat
17548,17636,15476,20374,preheat
17534,17621,15454,20362,preheat
17522,17605,15431,20353,preheat
17508,17586,15395,20345,preheat
17499,17569,15365,20330,preheat
17489,17551,15346,20323,preheat
17474,17531,15321,20309,preheat
17460,17512,15295,20298,preheat
17444,17498,15271,20288,preheat
17430,17477,15251,20276,preheat
17405,17461,15232,20266,preheat
17397,17441,15216,20257,preheat
17374,17423,15199,20247,preheat
17356,17403,15170,20234,preheat
17338,17384,15141,20227,preheat
17323,17365,15111,20213,preheat
17309,17353,15083,20203,preheat
17300,17335,15070,20189,preheat
17287,17320,15067,20181,preheat
17280,17302,15065,20166,preheat
17267,17294,15063,20161,preheat
17259,17282,15051,20151,preheat
17250,17268,15034,20139,preheat
17249,17258,15020,20137,preheat
17240,17244,15003,20123,preheat
17233,17234,14987,20117,preheat
17228,17219,14974,20110,preheat
17227,17214,14962,20105,preheat
17218,17204,14949,20096,preheat
17218,17197,14942,20089,preheat
17210,17185,14945,20081,preheat
17207,17177,14950,20076,preheat
17208,17170,14947,20067,preheat
17202,17170,14943,20069,preheat
17199,17167,14933,20062,preheat
17204,17162,14932,20063,preheat
17207,17164,14931,20061,preheat
17209,17160,14930,20058,preheat
17206,17161,14928,20061,preheat
17212,17157,14934,20059,preheat
17213,17159,14937,20062,preheat
17217,17156,14943,20062,preheat
17216,17153,14949,20059,preheat
17218,17150,14955,20054,preheat
17214,17147,14964,20054,preheat
17216,17138,14975,20055,preheat
17214,17139,14976,20055,preheat
17215,17135,14976,20056,preheat
17211,17133,14977,20053,preheat
17213,17128,14984,20051,preheat
17208,17125,14987,20048,preheat
17211,17125,14995,20051,preheat
17202,17118,14991,20052,preheat
17203,17115,14992,20044,preheat
17201,17115,14994,20051,preheat
17196,17112,14995,20046,preheat
17198,17106,14994,20042,preheat
17193,17102,14994,20041,preheat
17191,17094,14991,20037,preheat
17185,17091,14994,20030,preheat
17178,17082,14990,20026,preheat
17174,17076,14984,20027,preheat
17173,17067,14977,20015,preheat
17168,17067,14976,20010,preheat
17164,17054,14963,20005,preheat
17160,17046,14955,20005,preheat
17158,17044,14952,20000,preheat
17157,17038,14941,19996,preheat
17150,17033,14938,19990,preheat
17145,17027,14926,19982,preheat
17137,17022,14917,19980,preheat
17140,17018,14908,19975,preheat
17135,17017,14902,19969,preheat
17134,17013,14897,19968,preheat
17128,17011,14890,19964,preheat
17138,17003,14880,19962,preheat
17129,17004,14877,19958,preheat
17129,16995,14874,19955,preheat
17130,16997,14875,19955,preheat
17129,16996,14879,19953,preheat
17132,16995,14879,19950,preheat
17133,16996,14882,19948,preheat
17134,16998,14884,19950,preheat
17136,16999,14887,19946,preheat
17136,17000,14888,19947,preheat
17136,17001,14891,19946,preheat
17143,16997,14891,19944,preheat
17140,16999,14893,19945,preheat
17136,16991,14893,19942,preheat
17134,16990,14891,19937,preheat
17133,16990,14893,19937,preheat
17132,16986,14891,19934,preheat
17130,16985,14884,19933,preheat
17127,16983,14879,19932,preheat
17129,16985,14874,19937,preheat
17130,16988,14877,19936,preheat
17131,16987,14867,19933,preheat
17135,16992,14863,19930,preheat
17134,16999,14860,19937,preheat
17143,16998,14863,19935,preheat
17146,17004,14872,19942,preheat
17150,17011,14886,19942,preheat
17162,17016,14888,19947,preheat
17162,17028,14898,19950,preheat
17167,17029,14908,19952,preheat
17172,17032,14917,19954,preheat
17173,17039,14918,19955,preheat
17168,17046,14914,19960,preheat
17175,17044,14898,19962,preheat
17174,17049,14884,19963,preheat
17172,17049,14870,19965,preheat
17168,17045,14854,19964,preheat
17166,17045,14841,19963,preheat
17159,17046,14828,19967,preheat
17153,17038,14817,19966,preheat
17144,17036,14807,19959,preheat
17142,17034,14792,19962,preheat
17137,17030,14784,19958,preheat
17129,17023,14777,19961,preheat
17127,17019,14766,19956,preheat
17122,17012,14756,19951,preheat
17109,17001,14741,19948,preheat
17103,16993,14731,19945,preheat
17098,16982,14720,19940,preheat
17089,16972,14706,19936,preheat
17086,16965,14705,19930,preheat
17080,16961,14702,19926,preheat
17071,16949,14690,19919,preheat
17063,16938,14674,19910,preheat
17053,16929,14666,19903,preheat
17046,16913,14644,19902,preheat
17036,16906,14624,19896,preheat
17030,16895,14603,19892,preheat
17018,16880,14592,19880,preheat
17011,16866,14587,19875,preheat
17003,16851,14584,19866,preheat
16996,16842,14588,19865,preheat
16987,16830,14586,19852,preheat
16976,16814,14588,19848,preheat
16969,16805,14593,19842,preheat
16964,16790,14591,19834,preheat
16953,16777,14582,19825,preheat
16947,16768,14576,19818,preheat
16942,16760,14577,19813,preheat
16937,16747,14581,19805,preheat
16930,16739,14577,19798,preheat
16932,16735,14577,19791,preheat
16923,16727,14573,19785,preheat
16928,16727,14567,19780,preheat
16924,16724,14559,19769,preheat
16924,16723,14550,19772,preheat
16926,16724,14549,19768,preheat
16931,16724,14552,19770,preheat
16935,16723,14556,19767,preheat
16939,16727,14560,19764,preheat
16943,16725,14557,19762,preheat
16945,16730,14556,19765,preheat
16949,16726,14557,19758,preheat
16947,16726,14561,19757,preheat
16947,16729,14568,19757,preheat
16943,16723,14574,19752,preheat
16943,16728,14582,19751,preheat
16943,16724,14582,19747,preheat
16946,16728,14584,19751,preheat
16944,16725,14584,19748,preheat
16947,16731,14584,19745,preheat
16952,16737,14584,19751,preheat
16957,16747,14576,19750,preheat
16965,16751,14579,19745,preheat
16974,16764,14586,19754,preheat
16983,16766,14590,19762,preheat
16993,16774,14597,19758,preheat
16994,16775,14604,19760,preheat
17000,16784,14617,19763,preheat
17004,16781,14618,19767,preheat
17007,16789,14623,19767,preheat
17013,16789,14625,19763,preheat
17012,16797,14632,19768,preheat
17012,16799,14635,19768,preheat
17015,16806,14641,19775,preheat
17021,16811,14650,19776,preheat
17022,16818,14665,19780,preheat
17030,16829,14676,19786,preheat
17034,16842,14693,19791,preheat
17045,16848,14702,19797,preheat
17054,16859,14713,19804,preheat
17059,16861,14729,19807,preheat
17068,16864,14740,19812,preheat
17071,16868,14750,19817,preheat
17074,16875,14756,19823,preheat
17069,16876,14759,19825,preheat
17075,16881,14759,19827,preheat
17076,16889,14766,19828,preheat
17082,16891,14767,19833,preheat
17083,16890,14769,19838,preheat
17083,16894,14766,19842,preheat
17089,16893,14765,19841,preheat
17090,16895,14761,19848,preheat
17090,16890,14760,19841,preheat
17088,16891,14764,19849,preheat
17088,16894,14766,19842,preheat
17086,16892,14765,19852,preheat
17087,16892,14771,19846,preheat
17083,16889,14771,19850,preheat
17082,16896,14772,19849,preheat
17085,16895,14770,19848,preheat
17086,16894,14772,19848,preheat
17084,16895,14780,19852,preheat
17082,16893,14785,19847,preheat
17084,16892,14789,19854,preheat
17078,16894,14788,19850,preheat
17082,16893,14789,19854,preheat
17077,16891,14787,19851,preheat
17075,16891,14781,19855,preheat
17073,16889,14780,19851,preheat
17069,16884,14772,19852,preheat
17068,16879,14760,19848,preheat
17066,16879,14759,19853,preheat
17060,16875,14760,19850,preheat
17057,16869,14759,19845,preheat
17046,16865,14762,19845,preheat
17047,16865,14767,19843,preheat
17045,16859,14762,19843,preheat
17044,16857,14755,19836,preheat
17038,16846,14747,19838,preheat
17045,16843,14738,19837,preheat
17039,16837,14725,19833,preheat
17048,16830,14716,19831,preheat
17045,16821,14705,19826,preheat
17056,16808,14702,19819,preheat
17056,16798,14694,19807,preheat
17057,16787,14693,19806,preheat
17056,16778,14681,19787,preheat
17067,16776,14685,19781,preheat
17081,16778,14683,19775,preheat
17103,16794,14695,19768,preheat
17121,16821,14705,19764,preheat
17153,16858,14732,19766,preheat
17196,16904,14757,19774,preheat
17243,16955,14802,19783,preheat
17296,17012,14845,19799,preheat
17348,17067,14905,19814,preheat
17401,17125,14981,19828,preheat
17449,17180,15050,19848,preheat
17496,17234,15105,19869,preheat
17538,17288,15162,19889,preheat
17578,17337,15222,19910,preheat
17611,17389,15282,19933,preheat
17645,17422,15336,19954,preheat
17675,17466,15390,19974,preheat
17702,17499,15434,19998,preheat
17717,17530,15464,20016,preheat
17726,17554,15488,20040,preheat
17741,17576,15510,20055,preheat
17749,17592,15536,20073,preheat
17757,17602,15558,20089,preheat
17762,17611,15578,20104,preheat
17761,17613,15595,20115,preheat
17755,17612,15604,20124,preheat
17753,17617,15611,20140,preheat
17747,17613,15611,20147,preheat
17734,17613,15610,20153,preheat
17724,17609,15605,20160,preheat
17717,17611,15606,20163,preheat
17707,17607,15598,20169,preheat
17698,17600,15586,20177,preheat
17683,17595,15574,20178,preheat
17679,17589,15564,20183,preheat
17665,17589,15560,20186,preheat
17659,17583,15559,20193,preheat
17648,17579,15561,20193,preheat
17642,17575,15566,20197,preheat
17637,17568,15571,20201,preheat
17631,17568,15570,20204,preheat
17620,17562,15568,20205,preheat
17611,17552,15564,20205,preheat
17606,17550,15561,20207,preheat
17597,17545,15557,20210,preheat
17590,17538,15546,20212,preheat
17579,17524,15531,20208,preheat
