adc_mq135, adc_mq137, adc_mq138, adc_mq3, status
21055,17991,16132,22130,preheat
21068,17995,16138,22134,preheat
21084,17996,16143,22135,preheat
21098,18003,16151,22137,preheat
21106,18004,16158,22133,preheat
21107,18008,16166,22136,preheat
21109,18011,16179,22139,preheat
21109,18019,16184,22138,preheat
21112,18018,16180,22139,preheat
21111,18026,16180,22140,preheat
21111,18024,16183,22147,preheat
21108,18024,16187,22146,preheat
21104,18026,16195,22149,preheat
21098,18028,16208,22150,preheat
21093,18031,16214,22145,preheat
21091,18029,16227,22149,preheat
21082,18028,16229,22144,preheat
21073,18027,16227,22147,preheat
21072,18025,16232,22151,preheat
21068,18027,16232,22153,preheat
21066,18019,16232,22154,preheat
21055,18019,16224,22145,preheat
21062,18015,16209,22148,preheat
21064,18015,16207,22149,preheat
21071,18013,16196,22146,preheat
21075,18011,16187,22146,preheat
21073,18008,16176,22148,preheat
21071,18007,16173,22143,preheat
21068,18002,16157,22142,preheat
21065,17999,16150,22140,preheat
21057,17995,16152,22138,preheat
21057,17992,16151,22141,preheat
21053,17993,16154,22138,preheat
21055,17988,16147,22140,preheat
21063,17988,16141,22138,preheat
21075,17985,16139,22131,preheat
21086,17984,16139,22139,preheat
21094,17982,16129,22140,preheat
21091,17977,16111,22134,preheat
21096,17984,16107,22134,preheat
21092,17985,16104,22133,preheat
21084,17988,16120,22133,preheat
21080,17988,16141,22130,preheat
21085,17991,16158,22141,preheat
21081,17995,16165,22135,preheat
21078,17995,16168,22141,preheat
21091,17994,16164,22138,preheat
21098,18000,16157,22134,preheat
21114,18006,16169,22144,preheat
21124,18005,16167,22133,preheat
21135,18013,16174,22142,preheat
21143,18012,16185,22139,preheat
21136,18017,16199,22144,preheat
21134,18016,16201,22146,preheat
21126,18022,16199,22138,preheat
21116,18022,16194,22139,preheat
21105,18021,16191,22141,preheat
21095,18021,16188,22142,preheat
21083,18020,16180,22141,preheat
21074,18023,16176,22142,preheat
21070,18019,16173,22144,preheat
21055,18016,16179,22144,preheat
21051,18016,16171,22142,preheat
21048,18013,16162,22142,preheat
21055,18010,16139,22139,preheat
21065,18007,16135,22138,preheat
21083,18011,16127,22136,preheat
21090,18007,16108,22138,preheat
21092,18007,16093,22135,preheat
21093,18004,16081,22138,preheat
21099,18001,16082,22137,preheat
21094,18002,16081,22137,preheat
21094,17999,16082,22134,preheat
21094,17996,16082,22136,preheat
21096,17997,16084,22137,preheat
21102,17993,16091,22140,preheat
21105,17992,16089,22132,preheat
21105,17991,16094,22135,preheat
21109,17994,16090,22134,preheat
21113,17987,16086,22130,preheat
21108,17988,16081,22134,preheat
21103,17993,16086,22137,preheat
21098,17990,16099,22133,preheat
21090,17997,16113,22134,preheat
21077,17992,16130,22135,preheat
21067,17993,16147,22144,preheat
21060,17991,16157,22135,preheat
21063,17993,16168,22140,preheat
21059,17992,16184,22137,charge
21060,17990,16188,22137,charge
21056,17988,16182,22134,charge
21058,17991,16176,22135,charge
21063,17991,16166,22137,charge
21067,17985,16159,22136,charge
21070,17988,16157,22131,charge
21075,17986,16156,22136,charge
21076,17987,16157,22136,charge
21078,17990,16158,22134,charge
21079,17981,16149,22133,charge
21076,17976,16141,22134,charge
21075,17976,16132,22136,charge
21070,17960,16117,22127,charge
21064,17952,16109,22124,charge
21059,17939,16111,22122,charge
21052,17928,16112,22118,charge
21047,17908,16099,22116,charge
21041,17888,16075,22110,charge
21033,17867,16050,22108,charge
21030,17848,16020,22094,charge
21027,17829,15989,22092,charge
21017,17801,15956,22079,charge
21009,17782,15919,22076,charge
21001,17756,15880,22064,charge
20992,17736,15841,22059,charge
20976,17716,15811,22052,charge
20965,17695,15780,22042,charge
20953,17677,15759,22041,charge
20940,17660,15735,22026,charge
20921,17644,15710,22025,charge
20903,17630,15690,22014,charge
20899,17616,15677,22009,charge
20888,17603,15662,21998,charge
20868,17589,15651,21990,charge
20857,17575,15634,21985,charge
20841,17554,15621,21976,charge
20821,17542,15602,21961,charge
20814,17527,15581,21956,charge
20801,17517,15566,21947,charge
20797,17503,15558,21937,charge
20783,17489,15554,21920,charge
20769,17475,15551,21913,charge
20754,17459,15540,21898,charge
20752,17451,15526,21890,charge
20752,17438,15516,21876,charge
20754,17431,15511,21866,charge
20750,17421,15505,21856,charge
20753,17417,15498,21844,charge
20756,17406,15488,21835,charge
20755,17402,15495,21826,charge
20749,17396,15497,21816,charge
20744,17392,15503,21804,charge
20743,17395,15503,21794,charge
20741,17387,15500,21785,charge
20746,17387,15493,21778,charge
20757,17390,15487,21774,charge
20772,17385,15477,21771,charge
20781,17390,15469,21762,charge
20795,17385,15476,21755,charge
20805,17390,15486,21749,charge
20822,17397,15499,21747,charge
20827,17401,15511,21747,charge
20828,17410,15524,21746,charge
20832,17417,15536,21746,charge
20837,17434,15541,21742,charge
20847,17443,15547,21742,charge
20852,17455,15561,21741,charge
20862,17469,15582,21752,charge
20870,17486,15595,21754,charge
20880,17500,15595,21754,charge
20885,17516,15606,21754,charge
20895,17532,15621,21758,charge
20909,17551,15659,21769,charge
20922,17570,15674,21776,charge
20942,17592,15685,21774,charge
20960,17612,15702,21783,charge
20977,17635,15727,21793,charge
21004,17656,15743,21798,charge
21021,17679,15764,21813,charge
21038,17698,15791,21821,charge
21061,17726,15807,21832,charge
21080,17748,15820,21837,charge
21088,17764,15850,21847,charge
21100,17789,15895,21858,charge
21107,17807,15932,21864,charge
21115,17832,15957,21881,charge
21124,17850,15985,21887,charge
21126,17874,16008,21900,charge
21139,17891,16023,21907,charge
21154,17910,16040,21920,charge
21171,17932,16065,21927,charge
21185,17954,16104,21937,charge
21199,17968,16138,21954,charge
21217,17991,16169,21961,charge
21233,18007,16212,21971,charge
21246,18020,16245,21980,charge
21254,18040,16286,21990,charge
21248,18050,16324,21996,charge
21241,18067,16352,22005,charge
21242,18084,16393,22008,charge
21239,18097,16420,22018,charge
21237,18112,16430,22031,charge
21242,18129,16444,22032,charge
21249,18146,16452,22042,charge
21266,18161,16471,22053,charge
21277,18179,16489,22059,charge
21291,18198,16495,22066,charge
21298,18209,16508,22072,charge
21292,18218,16523,22081,charge
21279,18229,16531,22086,charge
21278,18239,16532,22092,charge
21288,18247,16527,22097,charge
21302,18261,16545,22106,charge
21316,18267,16572,22113,charge
21319,18274,16589,22116,charge
21323,18281,16604,22118,charge
21308,18283,16607,22123,charge
21298,18289,16607,22128,charge
21298,18293,16606,22126,charge
21296,18291,16597,22135,charge
21314,18298,16594,22133,charge
21325,18300,16596,22140,charge
21334,18304,16591,22141,charge
21344,18309,16604,22142,charge
21337,18306,16618,22144,charge
21341,18310,16636,22142,charge
21331,18318,16654,22149,charge
21317,18321,16660,22154,charge
21317,18318,16656,22148,charge
21316,18324,16647,22148,charge
21331,18332,16648,22153,charge
21342,18332,16649,22155,charge
21344,18337,16654,22160,charge
21351,18338,16652,22153,charge
21354,18345,16645,22166,charge
21358,18345,16653,22166,charge
21365,18350,16663,22164,charge
21378,18360,16678,22169,charge
21377,18358,16679,22174,charge
21381,18362,16677,22164,charge
21382,18360,16679,22171,charge
21391,18364,16671,22172,charge
21400,18367,16673,22172,charge
21412,18371,16672,22173,charge
21412,18371,16682,22174,charge
21412,18373,16689,22175,charge
21416,18372,16691,22173,charge
21407,18378,16678,22177,charge
21404,18385,16656,22174,charge
21392,18386,16630,22178,charge
21389,18389,16624,22176,charge
21387,18389,16623,22181,charge
21391,18398,16641,22181,charge
21403,18407,16642,22185,charge
21412,18412,16662,22187,charge
21426,18420,16679,22192,charge
21440,18430,16696,22185,charge
21453,18442,16723,22192,charge
21467,18450,16753,22196,charge
21472,18464,16768,22197,charge
21469,18473,16783,22200,charge
21462,18479,16792,22203,charge
21453,18492,16802,22204,charge
21446,18502,16804,22205,charge
21441,18510,16799,22215,charge
21437,18519,16809,22217,charge
21436,18527,16813,22223,charge
21434,18529,16821,22226,charge
21446,18538,16824,22225,charge
21442,18542,16834,22234,charge
21445,18546,16834,22228,charge
21449,18548,16832,22232,charge
21456,18552,16841,22238,charge
21467,18554,16857,22235,charge
21481,18554,16879,22241,charge
21486,18555,16900,22246,charge
21487,18558,16910,22247,charge
21480,18556,16921,22245,charge
21473,18560,16926,22242,charge
21465,18559,16924,22244,charge
21472,18563,16932,22242,charge
21478,18556,16938,22251,charge
21475,18559,16943,22248,charge
21470,18557,16931,22252,charge
21470,18558,16914,22248,charge
21471,18559,16902,22251,charge
21480,18556,16895,22256,charge
21482,18560,16896,22251,charge
21495,18563,16892,22253,charge
21491,18565,16889,22254,charge
21486,18564,16883,22256,charge
21488,18562,16864,22255,charge
21492,18567,16878,22257,charge
21486,18565,16892,22257,charge
21482,18564,16911,22261,charge
21469,18569,16933,22257,charge
21464,18575,16938,22257,charge
21469,18573,16938,22263,charge
21476,18574,16928,22261,charge
21491,18577,16927,22266,charge
21498,18582,16932,22267,charge
21492,18585,16930,22264,charge
21502,18593,16934,22266,charge
21501,18595,16923,22268,charge
21506,18599,16935,22271,charge
21508,18601,16936,22270,charge
21510,18610,16947,22276,charge
21505,18614,16957,22277,charge
21504,18623,16964,22286,charge
21492,18628,16983,22278,charge
21472,18638,17005,22282,charge
21448,18636,17011,22277,charge
21435,18641,17002,22284,charge
21446,18643,16981,22287,charge
21476,18651,16968,22286,charge
21498,18653,16969,22293,charge
21524,18655,16967,22291,charge
21540,18659,16965,22287,charge
21544,18661,16958,22300,charge
21546,18665,16955,22294,charge
21551,18667,16946,22292,charge
21556,18664,16958,22297,charge
21558,18669,16973,22295,charge
21553,18672,16987,22295,charge
21553,18681,17008,22297,charge
21551,18682,17021,22301,charge
21550,18682,17029,22302,charge
21537,18689,17023,22298,charge
21539,18687,17015,22301,charge
21543,18691,17018,22307,charge
21524,18688,17013,22302,charge
21532,18690,17017,22299,charge
21526,18700,17014,22302,charge
21512,18694,17008,22296,charge
21494,18697,17010,22306,charge
21486,18695,16999,22305,charge
21479,18701,16992,22309,charge
21488,18699,16981,22302,charge
21504,18706,16987,22306,charge
21521,18705,16987,22312,charge
21532,18713,16996,22313,charge
21540,18718,16997,22312,charge
21554,18724,17010,22311,charge
21547,18730,17023,22316,charge
21556,18731,17033,22316,charge
21566,18738,17047,22324,charge
21575,18745,17056,22321,charge
21587,18753,17059,22326,charge
21593,18765,17051,22331,charge
21604,18768,17045,22330,charge
21604,18780,17061,22336,charge
21616,18787,17066,22341,charge
21626,18798,17063,22342,charge
21640,18809,17064,22347,charge
21643,18810,17061,22351,charge
21641,18823,17051,22353,charge
21650,18830,17054,22360,charge
21653,18835,17066,22361,charge
21658,18840,17088,22360,charge
21656,18845,17120,22365,charge
21646,18853,17151,22369,charge
21643,18859,17175,22370,charge
21637,18859,17203,22372,charge
21613,18858,17225,22372,charge
21611,18863,17244,22373,charge
21610,18862,17255,22374,charge
21609,18860,17265,22371,charge
21614,18858,17275,22372,charge
21609,18861,17289,22375,charge
21612,18856,17294,22380,charge
21616,18853,17282,22376,charge
21607,18854,17272,22374,charge
21599,18844,17258,22371,charge
21589,18839,17242,22375,charge
21590,18834,17239,22376,charge
21592,18832,17238,22372,charge
21595,18826,17240,22375,charge
21596,18826,17230,22372,charge
21599,18827,17203,22371,charge
21599,18822,17185,22376,charge
21598,18821,17179,22371,charge
21602,18819,17188,22370,charge
21602,18817,17203,22366,charge
21607,18819,17226,22365,charge
21609,18816,17242,22367,charge
21590,18820,17243,22367,charge
21568,18822,17243,22363,charge
21538,18825,17251,22359,charge
21545,18828,17275,22362,charge
21540,18827,17289,22355,charge
21536,18827,17297,22357,charge
21548,18826,17305,22358,charge
21552,18829,17290,22354,charge
