adc_mq135, adc_mq137, adc_mq138, adc_mq3, status
21764,20014,18911,22403,preheat
21741,19973,18869,22386,preheat
21723,19935,18827,22373,preheat
21706,19896,18786,22357,preheat
21673,19855,18749,22340,preheat
21658,19818,18713,22328,preheat
21637,19775,18668,22307,preheat
21610,19739,18623,22294,preheat
21593,19700,18591,22272,preheat
21573,19662,18557,22258,preheat
21556,19629,18511,22237,preheat
21532,19593,18471,22231,preheat
21520,19561,18429,22214,preheat
21503,19532,18383,22198,preheat
21496,19502,18346,22186,preheat
21482,19469,18319,22174,preheat
21471,19444,18287,22157,preheat
21458,19415,18254,22153,preheat
21443,19390,18227,22137,preheat
21433,19366,18203,22124,preheat
21423,19343,18185,22111,preheat
21413,19323,18170,22098,preheat
21406,19301,18152,22090,preheat
21399,19275,18122,22081,preheat
21391,19258,18098,22074,preheat
21387,19247,18077,22064,preheat
21385,19228,18062,22052,preheat
21375,19209,18056,22047,preheat
21369,19198,18049,22037,preheat
21358,19180,18031,22038,preheat
21353,19170,18019,22025,preheat
21353,19161,18005,22021,preheat
21347,19156,17987,22022,preheat
21351,19162,17978,22015,preheat
21362,19181,17980,22019,preheat
21379,19206,17999,22022,preheat
21399,19247,18021,22031,preheat
21427,19293,18063,22044,preheat
21454,19347,18114,22057,preheat
21483,19415,18169,22074,preheat
21529,19481,18240,22096,preheat
21568,19558,18340,22120,preheat
21613,19632,18430,22148,preheat
21651,19703,18516,22173,preheat
21685,19774,18607,22193,preheat
21723,19844,18689,22231,preheat
21763,19911,18751,22257,preheat
21790,19969,18812,22288,preheat
21825,20024,18869,22312,preheat
21849,20075,18921,22334,preheat
21869,20124,18968,22361,preheat
21885,20162,19032,22383,preheat
21896,20203,19075,22402,preheat
21911,20237,19103,22423,preheat
21926,20272,19136,22438,preheat
21939,20298,19174,22458,preheat
21949,20326,19203,22472,preheat
21963,20345,19230,22496,preheat
21973,20364,19254,22500,preheat
21977,20377,19261,22514,preheat
21979,20387,19257,22520,preheat
21987,20394,19272,22524,preheat
21988,20399,19283,22527,preheat
21985,20398,19286,22529,preheat
21980,20391,19285,22537,preheat
21975,20380,19295,22541,preheat
21960,20364,19299,22529,preheat
21953,20351,19293,22526,preheat
21944,20323,19286,22516,preheat
21925,20297,19263,22508,preheat
21912,20268,19233,22497,preheat
21891,20235,19194,22482,preheat
21872,20201,19159,22471,preheat
21854,20173,19122,22454,preheat
21838,20130,19074,22445,preheat
21814,20087,19037,22425,preheat
21790,20057,18997,22412,preheat
21770,20014,18949,22396,preheat
21754,19971,18900,22382,preheat
21729,19931,18847,22362,preheat
21708,19890,18796,22345,preheat
21689,19851,18744,22322,preheat
21661,19808,18703,22312,preheat
21643,19776,18663,22289,preheat
21626,19731,18617,22280,preheat
21603,19695,18580,22262,preheat
21585,19655,18528,22245,preheat
21569,19620,18478,22223,preheat
21542,19579,18440,22208,preheat
21526,19547,18407,22189,preheat
21505,19510,18371,22178,preheat
21485,19478,18338,22162,preheat
21472,19445,18305,22145,preheat
21457,19416,18264,22131,preheat
21440,19382,18229,22115,preheat
21426,19357,18197,22097,preheat
21417,19329,18160,22086,preheat
21402,19299,18135,22069,preheat
21383,19276,18117,22060,preheat
21373,19255,18099,22049,preheat
21361,19233,18075,22044,preheat
21356,19217,18046,22037,preheat
21353,19211,18012,22022,preheat
21346,19208,17988,22020,preheat
21346,19219,17992,22014,preheat
21363,19244,18010,22019,preheat
21384,19281,18038,22024,preheat
21409,19322,18090,22032,preheat
21439,19373,18143,22043,preheat
21473,19429,18200,22057,preheat
21515,19496,18263,22077,preheat
21550,19559,18311,22091,preheat
21588,19628,18378,22119,preheat
21626,19689,18462,22144,preheat
21655,19751,18543,22164,preheat
21692,19813,18615,22195,preheat
21730,19875,18700,22224,preheat
21760,19935,18775,22256,preheat
21787,19990,18844,22282,preheat
21814,20046,18900,22310,preheat
21829,20088,18958,22334,preheat
21856,20133,19015,22357,preheat
21877,20171,19057,22378,preheat
21898,20204,19090,22392,preheat
21911,20241,19105,22417,preheat
21939,20272,19141,22433,preheat
21949,20300,19187,22457,preheat
21958,20326,19219,22466,preheat
21971,20350,19240,22485,preheat
21989,20372,19261,22503,preheat
21991,20388,19276,22511,preheat
21993,20405,19284,22517,preheat
22001,20415,19299,22530,preheat
22003,20421,19312,22541,preheat
22000,20428,19330,22546,preheat
22001,20427,19334,22542,preheat
21995,20419,19332,22551,preheat
21993,20411,19337,22547,preheat
21985,20401,19324,22543,preheat
21982,20379,19291,22540,preheat
21967,20355,19263,22529,preheat
21950,20329,19240,22519,preheat
21933,20297,19218,22505,preheat
21915,20267,19196,22498,preheat
21895,20235,19166,22478,preheat
21872,20195,19127,22466,preheat
21850,20159,19095,22453,preheat
21830,20123,19056,22441,preheat
21812,20079,19004,22423,preheat
21783,20032,18949,22395,preheat
21760,19995,18892,22379,preheat
21735,19948,18839,22365,preheat
21708,19902,18775,22341,preheat
21683,19858,18710,22324,preheat
21654,19811,18642,22303,preheat
21630,19768,18585,22279,preheat
21603,19726,18530,22263,preheat
21580,19679,18474,22247,preheat
21556,19637,18414,22224,preheat
21532,19593,18352,22202,preheat
21514,19550,18296,22188,preheat
21492,19510,18242,22164,preheat
21477,19473,18183,22148,preheat
21460,19433,18139,22131,preheat
21435,19401,18094,22116,preheat
21422,19370,18060,22101,preheat
21410,19336,18030,22083,preheat
21393,19308,17998,22063,preheat
21379,19278,17965,22055,preheat
21368,19251,17937,22041,preheat
21362,19234,17909,22029,preheat
21350,19208,17874,22018,preheat
21343,19189,17851,22006,preheat
21335,19172,17842,21994,preheat
21336,19165,17827,21983,preheat
21335,19162,17835,21981,preheat
21341,19173,17849,21980,preheat
21351,19191,17880,21981,preheat
21360,19217,17915,21981,preheat
21373,19253,17950,21989,preheat
21397,19299,17997,21997,preheat
21426,19350,18054,22011,preheat
21459,19404,18122,22030,preheat
21500,19469,18192,22049,preheat
21539,19526,18262,22072,preheat
21572,19596,18351,22094,preheat
21606,19662,18443,22120,preheat
21640,19718,18522,22147,preheat
21673,19783,18591,22174,preheat
21707,19840,18647,22200,preheat
21736,19900,18697,22225,preheat
21770,19949,18758,22255,preheat
21787,20002,18824,22281,preheat
21815,20042,18881,22306,preheat
21833,20085,18940,22330,preheat
21857,20132,18994,22354,preheat
21873,20164,19039,22369,preheat
21891,20197,19076,22394,preheat
21906,20225,19104,22406,preheat
21921,20254,19122,22428,preheat
21927,20275,19128,22443,preheat
21934,20296,19121,22458,preheat
21944,20320,19125,22471,preheat
21952,20331,19138,22483,preheat
21960,20346,19149,22488,preheat
21969,20363,19159,22503,preheat
21970,20368,19153,22509,preheat
21965,20368,19154,22512,preheat
21969,20372,19164,22518,preheat
21964,20372,19169,22522,preheat
21955,20365,19167,22514,preheat
21948,20355,19159,22516,preheat
21941,20342,19151,22513,preheat
21933,20321,19150,22505,preheat
21913,20298,19141,22496,preheat
21902,20275,19126,22494,preheat
21882,20247,19095,22478,preheat
21866,20214,19051,22469,preheat
21850,20178,19009,22453,preheat
21826,20140,18967,22435,preheat
21803,20098,18922,22416,preheat
21779,20058,18873,22398,preheat
21756,20014,18822,22387,preheat
21734,19971,18767,22363,preheat
21716,19931,18713,22347,preheat
21692,19882,18665,22324,preheat
21663,19836,18613,22304,preheat
21639,19791,18569,22289,preheat
21613,19748,18525,22264,preheat
21591,19705,18490,22250,preheat
21569,19656,18439,22228,preheat
21550,19618,18382,22207,preheat
21533,19578,18325,22192,preheat
21510,19536,18273,22173,preheat
21492,19497,18230,22153,preheat
21473,19463,18192,22133,preheat
21454,19421,18154,22123,preheat
21438,19391,18120,22099,preheat
21415,19358,18090,22085,preheat
21400,19323,18055,22073,preheat
21385,19293,18026,22058,preheat
21375,19267,17995,22044,preheat
21365,19238,17973,22032,preheat
21351,19208,17943,22020,preheat
21342,19190,17920,22006,preheat
21344,19173,17905,21997,preheat
21337,19163,17888,21985,preheat
21339,19167,17870,21983,preheat
21348,19181,17875,21980,preheat
21365,19208,17910,21976,preheat
21380,19250,17967,21984,preheat
21418,19298,18032,22001,preheat
21443,19349,18093,22015,preheat
21473,19403,18165,22025,preheat
21509,19464,18242,22051,preheat
21545,19529,18316,22070,preheat
21587,19596,18385,22088,preheat
21614,19654,18450,22119,preheat
21650,19714,18536,22144,preheat
21684,19777,18599,22166,preheat
21712,19834,18647,22198,preheat
21742,19885,18703,22222,preheat
21764,19940,18756,22246,preheat
21796,19987,18817,22271,preheat
21814,20022,18862,22294,preheat
21832,20067,18905,22313,preheat
21854,20100,18936,22340,preheat
21865,20135,18964,22358,preheat
21879,20165,19000,22376,preheat
21894,20197,19045,22398,preheat
21907,20216,19077,22413,preheat
21908,20235,19100,22427,preheat
21914,20257,19121,22438,preheat
21923,20269,19144,22457,preheat
21926,20285,19152,22461,preheat
21935,20300,19152,22472,preheat
21937,20303,19148,22479,preheat
21940,20312,19149,22488,preheat
21941,20310,19146,22495,preheat
21933,20304,19143,22494,preheat
21922,20299,19141,22495,preheat
21917,20285,19133,22492,preheat
21901,20267,19126,22489,preheat
21895,20250,19118,22477,preheat
21881,20226,19096,22473,preheat
21868,20200,19074,22461,preheat
21848,20171,19034,22447,preheat
21831,20138,19009,22440,preheat
21814,20103,18990,22419,preheat
21790,20072,18963,22405,preheat
21775,20031,18923,22393,preheat
21752,19997,18875,22371,preheat
21739,19957,18831,22357,preheat
21715,19914,18787,22343,preheat
21692,19873,18746,22321,preheat
21666,19835,18703,22304,preheat
21640,19792,18658,22282,preheat
21619,19748,18619,22264,preheat
