adc_mq135, adc_mq137, adc_mq138, adc_mq3, status
22049,20008,18454,22719,preheat
22043,20001,18454,22718,preheat
22037,19998,18468,22712,preheat
22032,19993,18502,22707,preheat
22024,19985,18533,22701,preheat
22028,19978,18541,22704,preheat
22020,19973,18536,22698,preheat
22024,19968,18536,22701,preheat
22020,19968,18523,22698,preheat
22026,19959,18499,22689,preheat
22019,19953,18484,22693,preheat
22014,19949,18469,22689,preheat
22009,19943,18462,22688,preheat
22011,19939,18463,22684,preheat
22001,19935,18458,22687,preheat
21998,19932,18450,22684,preheat
21998,19928,18434,22685,preheat
21999,19922,18415,22680,preheat
21992,19919,18409,22677,preheat
21989,19915,18395,22678,preheat
21985,19909,18387,22671,preheat
21984,19898,18381,22672,preheat
21987,19895,18369,22668,preheat
21982,19889,18352,22666,preheat
21982,19884,18348,22663,preheat
21971,19879,18355,22665,preheat
21969,19873,18368,22661,preheat
21965,19871,18363,22653,preheat
21965,19869,18366,22658,preheat
21961,19858,18349,22652,preheat
21958,19849,18333,22648,preheat
21955,19845,18324,22654,preheat
21953,19836,18314,22647,preheat
21938,19832,18301,22643,preheat
21932,19821,18301,22645,preheat
21919,19816,18309,22640,preheat
21912,19805,18298,22637,preheat
21909,19795,18287,22635,preheat
21900,19781,18263,22631,preheat
21893,19776,18262,22632,preheat
21892,19769,18257,22625,preheat
21882,19754,18245,22619,preheat
21876,19747,18243,22619,preheat
21871,19735,18228,22613,preheat
21873,19725,18213,22613,preheat
21865,19717,18196,22607,preheat
21853,19710,18180,22608,preheat
21846,19698,18166,22607,preheat
21838,19695,18143,22602,preheat
21835,19685,18125,22594,preheat
21833,19674,18119,22591,preheat
21832,19671,18117,22594,preheat
21833,19662,18096,22588,preheat
21832,19657,18085,22587,preheat
21834,19653,18073,22582,preheat
21842,19642,18069,22582,preheat
21837,19644,18072,22580,preheat
21836,19636,18070,22578,preheat
21833,19632,18060,22576,preheat
21830,19621,18057,22574,preheat
21820,19612,18054,22563,preheat
21817,19607,18055,22565,preheat
21812,19604,18050,22561,preheat
21807,19596,18038,22560,preheat
21806,19592,18018,22559,preheat
21801,19586,17998,22555,preheat
21800,19580,17989,22557,preheat
21800,19578,17989,22552,preheat
21788,19572,18004,22552,preheat
21785,19569,18008,22545,preheat
21780,19568,18010,22551,preheat
21781,19555,17995,22545,preheat
21778,19555,17988,22540,preheat
21781,19551,17963,22541,preheat
21786,19549,17952,22538,preheat
21783,19547,17936,22533,preheat
21785,19540,17912,22533,preheat
21787,19541,17896,22532,preheat
21780,19532,17878,22529,preheat
21780,19528,17860,22530,preheat
21770,19528,17840,22525,preheat
21766,19519,17819,22525,preheat
21764,19516,17810,22520,preheat
21759,19513,17816,22525,preheat
21761,19506,17823,22519,preheat
21769,19505,17823,22518,preheat
21766,19498,17803,22520,preheat
21761,19494,17809,22515,preheat
21755,19496,17810,22512,preheat
21753,19491,17808,22513,preheat
21750,19485,17792,22513,preheat
21746,19481,17793,22516,preheat
21744,19479,17795,22506,preheat
21735,19473,17799,22510,preheat
21723,19470,17808,22506,preheat
21721,19466,17807,22502,preheat
21722,19464,17801,22506,preheat
21725,19467,17800,22507,preheat
21723,19465,17799,22507,preheat
21721,19462,17823,22504,preheat
21720,19463,17842,22504,preheat
21711,19462,17851,22504,preheat
21707,19458,17836,22495,preheat
21712,19462,17831,22499,preheat
21710,19462,17824,22494,preheat
21708,19466,17813,22496,preheat
21719,19470,17799,22499,preheat
21722,19467,17794,22492,preheat
21730,19468,17781,22499,preheat
21730,19464,17773,22495,preheat
21731,19462,17764,22499,preheat
21731,19459,17754,22496,preheat
21731,19458,17751,22488,preheat
21734,19463,17767,22498,preheat
21730,19461,17773,22495,preheat
21724,19457,17780,22490,preheat
21720,19459,17793,22495,preheat
21718,19454,17806,22493,preheat
21710,19456,17814,22488,preheat
21708,19456,17817,22489,preheat
21708,19454,17821,22488,preheat
21709,19453,17830,22485,preheat
21713,19454,17839,22486,preheat
21708,19453,17842,22487,preheat
21698,19450,17832,22484,preheat
21705,19449,17831,22482,preheat
21704,19446,17826,22477,preheat
21701,19446,17834,22478,preheat
