adc_mq135, adc_mq137, adc_mq138, adc_mq3, status
20307,18854,17711,22012,preheat
20309,18851,17710,22010,preheat
20311,18853,17709,22002,preheat
20310,18855,17715,22006,preheat
20314,18854,17713,22004,preheat
20316,18856,17711,22002,preheat
20311,18857,17706,21995,preheat
20315,18856,17698,22000,preheat
20314,18856,17687,21996,preheat
20310,18855,17675,21998,preheat
20309,18855,17669,21997,preheat
20310,18852,17665,21993,preheat
20309,18854,17670,21994,preheat
20308,18848,17678,21992,preheat
20306,18842,17672,21992,preheat
20301,18841,17663,21986,preheat
20297,18830,17647,21989,preheat
20297,18830,17644,21978,preheat
20288,18830,17638,21980,preheat
20289,18825,17636,21976,preheat
20287,18819,17631,21975,preheat
20286,18816,17625,21970,preheat
20289,18817,17625,21968,preheat
20283,18820,17634,21971,preheat
20280,18817,17635,21966,preheat
20283,18821,17642,21966,preheat
20274,18820,17636,21963,preheat
20287,18822,17639,21961,preheat
20284,18822,17638,21957,preheat
20290,18822,17635,21959,preheat
20290,18824,17636,21957,preheat
20294,18823,17633,21951,preheat
20296,18823,17630,21955,preheat
20292,18826,17624,21954,preheat
20288,18822,17614,21952,preheat
20284,18825,17608,21949,preheat
20286,18821,17599,21950,preheat
20286,18824,17596,21950,preheat
20289,18828,17592,21946,preheat
20294,18830,17597,21948,preheat
20296,18836,17602,21950,preheat
20298,18842,17611,21946,preheat
20298,18846,17617,21950,preheat
20306,18853,17625,21951,preheat
20313,18861,17638,21951,preheat
20319,18869,17644,21955,preheat
20323,18878,17639,21955,preheat
20328,18890,17651,21962,preheat
20337,18897,17661,21960,preheat
20344,18905,17674,21962,preheat
20347,18911,17684,21963,preheat
20350,18912,17695,21968,preheat
20360,18920,17698,21972,preheat
20363,18922,17704,21972,preheat
20359,18921,17716,21975,preheat
20365,18923,17715,21975,preheat
20367,18928,17719,21980,preheat
20363,18926,17719,21976,preheat
20366,18926,17725,21977,preheat
20365,18923,17722,21976,preheat
20365,18927,17711,21977,preheat
20358,18926,17698,21975,preheat
20356,18927,17689,21976,preheat
20357,18926,17687,21974,preheat
20357,18927,17687,21975,preheat
20351,18931,17690,21971,preheat
20350,18931,17692,21968,preheat
20361,18948,17703,21972,preheat
20375,18969,17721,21976,preheat
20394,19005,17759,21981,preheat
20423,19052,17802,21985,preheat
20456,19106,17854,21993,preheat
20500,19172,17917,22007,preheat
20539,19240,17975,22022,preheat
20589,19308,18045,22041,preheat
20631,19379,18114,22059,preheat
20675,19449,18185,22075,preheat
20722,19515,18262,22099,preheat
20761,19581,18341,22120,preheat
20795,19638,18407,22138,preheat
20825,19691,18463,22158,preheat
